2014-02-01 05,0.482,0.092,0.426

2014-02-01 23,0.175,0.109,0.716

2014-02-02 17,0.794,0.078,0.128

2014-02-03 11,0.998,0.002,0.000

2014-02-04 05,0.907,0.043,0.050

2014-02-04 23,0.723,0.160,0.117

2014-02-05 17,0.363,0.111,0.526

2014-02-06 11,0.333,0.135,0.531

2014-02-07 05,0.493,0.136,0.371

2014-02-07 23,0.441,0.276,0.282

2014-02-08 22,0.764,0.130,0.105

2014-02-09 16,0.766,0.090,0.143

2014-02-11 22,0.168,0.156,0.676

2014-02-12 17,0.336,0.325,0.339

2014-02-13 11,0.314,0.210,0.476

2014-02-15 01,0.255,0.052,0.693

2014-02-15 19,0.215,0.061,0.724

2014-02-17 21,0.467,0.285,0.249

2014-02-18 22,0.167,0.344,0.489

2014-02-19 16,0.710,0.154,0.136

2014-02-20 10,0.194,0.049,0.757

2014-02-21 18,0.010,0.014,0.976

2014-02-22 12,0.070,0.008,0.922

2014-02-23 06,0.037,0.009,0.954

2014-02-27 04,0.970,0.025,0.005

2014-02-28 02,0.557,0.152,0.291

2014-02-28 20,0.350,0.141,0.510

2014-03-01 14,0.910,0.010,0.080

2014-03-02 08,0.344,0.134,0.522

2014-03-03 05,0.062,0.072,0.866

2014-03-03 21,0.647,0.091,0.261

2014-03-04 13,0.953,0.027,0.020

2014-03-05 16,0.826,0.077,0.096

2014-03-06 08,0.810,0.094,0.095

2014-03-07 00,0.628,0.181,0.192

2014-03-07 23,0.429,0.197,0.374

2014-03-08 15,0.391,0.154,0.454

2014-03-09 07,0.439,0.151,0.410

2014-03-09 23,0.277,0.141,0.582

2014-03-10 21,0.051,0.035,0.914

2014-03-11 23,0.790,0.061,0.149

2014-03-12 15,0.543,0.087,0.369

2014-03-13 17,0.423,0.300,0.277

2014-03-15 01,0.425,0.313,0.262

2014-03-15 17,0.189,0.107,0.705

2014-03-16 09,0.301,0.068,0.631

2014-03-17 01,0.507,0.083,0.410

2014-03-17 18,0.732,0.112,0.156

2014-03-21 09,0.576,0.138,0.286

2014-03-22 14,0.492,0.176,0.332

2014-03-23 19,0.406,0.185,0.408

2014-03-30 14,0.493,0.127,0.380

2014-04-03 22,0.499,0.214,0.287

2014-04-06 06,0.650,0.131,0.219

2014-04-07 20,0.397,0.144,0.459

2014-04-10 22,0.336,0.343,0.321

2014-04-13 10,0.388,0.097,0.515

2014-04-14 05,0.212,0.060,0.728

2014-04-15 19,0.422,0.239,0.339

2014-04-16 14,0.357,0.136,0.506

2014-04-17 09,0.214,0.212,0.575

2014-04-18 19,0.239,0.152,0.609

2014-04-21 13,0.425,0.255,0.321

