2014-02-01 05,0.462,0.116,0.422

2014-02-01 23,0.192,0.140,0.668

2014-02-02 17,0.789,0.084,0.127

2014-02-03 11,0.866,0.079,0.055

2014-02-04 05,0.807,0.099,0.095

2014-02-04 23,0.317,0.239,0.444

2014-02-05 17,0.287,0.102,0.612

2014-02-06 11,0.150,0.295,0.555

2014-02-07 05,0.389,0.306,0.305

2014-02-07 23,0.764,0.130,0.105

2014-02-08 22,0.613,0.165,0.221

2014-02-09 16,0.863,0.038,0.100

2014-02-11 22,0.327,0.177,0.496

2014-02-12 17,0.414,0.193,0.393

2014-02-13 11,0.317,0.203,0.479

2014-02-15 01,0.326,0.351,0.323

2014-02-15 19,0.255,0.052,0.693

2014-02-17 21,0.133,0.097,0.770

2014-02-18 22,0.379,0.161,0.460

2014-02-19 16,0.399,0.203,0.398

2014-02-20 10,0.603,0.160,0.237

2014-02-21 18,0.470,0.128,0.402

2014-02-22 12,0.027,0.011,0.962

2014-02-23 06,0.015,0.006,0.979

2014-02-27 04,0.970,0.025,0.005

2014-02-28 02,0.474,0.165,0.361

2014-02-28 20,0.187,0.346,0.467

2014-03-01 14,0.583,0.181,0.236

2014-03-02 08,0.210,0.193,0.597

2014-03-03 05,0.065,0.043,0.891

2014-03-03 21,0.361,0.043,0.596

2014-03-04 13,0.904,0.066,0.029

2014-03-05 16,0.720,0.193,0.087

2014-03-06 08,0.611,0.134,0.255

2014-03-07 00,0.689,0.156,0.155

2014-03-07 23,0.314,0.060,0.626

2014-03-08 15,0.351,0.150,0.499

2014-03-09 07,0.256,0.103,0.641

2014-03-09 23,0.370,0.074,0.555

2014-03-10 21,0.822,0.028,0.150

2014-03-11 23,0.531,0.149,0.320

2014-03-12 15,0.561,0.275,0.165

2014-03-13 17,0.433,0.366,0.201

2014-03-15 01,0.189,0.107,0.705

2014-03-15 17,0.310,0.084,0.606

2014-03-16 09,0.440,0.221,0.339

2014-03-17 01,0.369,0.318,0.313

2014-03-17 18,0.382,0.347,0.272

2014-03-21 09,0.474,0.281,0.245

2014-03-22 14,0.281,0.070,0.649

2014-03-23 19,0.305,0.043,0.652

2014-03-30 14,0.403,0.087,0.510

2014-04-03 22,0.108,0.018,0.874

2014-04-06 06,0.316,0.226,0.458

2014-04-07 20,0.431,0.298,0.271

2014-04-10 22,0.416,0.218,0.366

2014-04-13 10,0.282,0.243,0.475

2014-04-14 05,0.352,0.056,0.593

2014-04-15 19,0.220,0.076,0.703

2014-04-16 14,0.326,0.351,0.323

2014-04-17 09,0.765,0.102,0.133

2014-04-18 19,0.294,0.160,0.546

2014-04-21 13,0.308,0.122,0.569

