2014-02-01 05,0.482,0.092,0.426

2014-02-01 23,0.216,0.122,0.662

2014-02-02 17,0.789,0.084,0.127

2014-02-03 11,0.866,0.079,0.055

2014-02-04 05,0.807,0.099,0.095

2014-02-04 23,0.369,0.214,0.417

2014-02-05 17,0.307,0.098,0.595

2014-02-06 11,0.135,0.260,0.605

2014-02-07 05,0.321,0.266,0.414

2014-02-07 23,0.764,0.130,0.105

2014-02-08 22,0.613,0.165,0.221

2014-02-09 16,0.863,0.038,0.100

2014-02-11 22,0.399,0.170,0.431

2014-02-12 17,0.414,0.193,0.393

2014-02-13 11,0.317,0.203,0.479

2014-02-15 01,0.326,0.351,0.323

2014-02-15 19,0.255,0.052,0.693

2014-02-17 21,0.133,0.097,0.770

2014-02-18 22,0.379,0.161,0.460

2014-02-19 16,0.399,0.203,0.398

2014-02-20 10,0.613,0.145,0.242

2014-02-21 18,0.480,0.142,0.378

2014-02-22 12,0.027,0.011,0.962

2014-02-23 06,0.015,0.006,0.979

2014-02-27 04,0.970,0.025,0.005

2014-02-28 02,0.557,0.152,0.291

2014-02-28 20,0.281,0.288,0.431

2014-03-01 14,0.583,0.181,0.236

2014-03-02 08,0.292,0.201,0.507

2014-03-03 05,0.065,0.043,0.891

2014-03-03 21,0.361,0.043,0.596

2014-03-04 13,0.904,0.066,0.029

2014-03-05 16,0.852,0.057,0.092

2014-03-06 08,0.611,0.134,0.255

2014-03-07 00,0.689,0.156,0.155

2014-03-07 23,0.314,0.060,0.626

2014-03-08 15,0.365,0.179,0.457

2014-03-09 07,0.256,0.103,0.641

2014-03-09 23,0.409,0.042,0.549

2014-03-10 21,0.822,0.028,0.150

2014-03-11 23,0.531,0.149,0.320

2014-03-12 15,0.562,0.286,0.152

2014-03-13 17,0.433,0.366,0.201

2014-03-15 01,0.230,0.109,0.661

2014-03-15 17,0.309,0.095,0.596

2014-03-16 09,0.451,0.188,0.361

2014-03-17 01,0.369,0.318,0.313

2014-03-17 18,0.358,0.391,0.251

2014-03-21 09,0.499,0.299,0.202

2014-03-22 14,0.324,0.084,0.592

2014-03-23 19,0.302,0.031,0.667

2014-03-30 14,0.403,0.087,0.510

2014-04-03 22,0.108,0.018,0.874

2014-04-06 06,0.329,0.245,0.426

2014-04-07 20,0.431,0.298,0.271

2014-04-10 22,0.416,0.218,0.366

2014-04-13 10,0.278,0.241,0.481

2014-04-14 05,0.299,0.048,0.653

2014-04-15 19,0.203,0.088,0.709

2014-04-16 14,0.326,0.351,0.323

2014-04-17 09,0.818,0.070,0.111

2014-04-18 19,0.339,0.125,0.536

2014-04-21 13,0.284,0.122,0.593

