2014-02-01 05,0.457,0.101,0.442

2014-02-01 23,0.185,0.131,0.684

2014-02-02 17,0.794,0.078,0.128

2014-02-03 11,0.998,0.002,0.000

2014-02-04 05,0.907,0.043,0.050

2014-02-04 23,0.585,0.203,0.212

2014-02-05 17,0.363,0.111,0.526

2014-02-06 11,0.295,0.137,0.568

2014-02-07 05,0.492,0.182,0.327

2014-02-07 23,0.441,0.276,0.282

2014-02-08 22,0.764,0.130,0.105

2014-02-09 16,0.766,0.090,0.143

2014-02-11 22,0.168,0.156,0.676

2014-02-12 17,0.359,0.312,0.329

2014-02-13 11,0.314,0.210,0.476

2014-02-15 01,0.255,0.052,0.693

2014-02-15 19,0.215,0.061,0.724

2014-02-17 21,0.520,0.228,0.252

2014-02-18 22,0.167,0.344,0.489

2014-02-19 16,0.710,0.154,0.136

2014-02-20 10,0.214,0.061,0.725

2014-02-21 18,0.010,0.011,0.979

2014-02-22 12,0.053,0.005,0.942

2014-02-23 06,0.037,0.009,0.954

2014-02-27 04,0.970,0.025,0.005

2014-02-28 02,0.557,0.152,0.291

2014-02-28 20,0.350,0.141,0.510

2014-03-01 14,0.898,0.049,0.053

2014-03-02 08,0.371,0.124,0.506

2014-03-03 05,0.062,0.072,0.866

2014-03-03 21,0.655,0.071,0.274

2014-03-04 13,0.953,0.027,0.020

2014-03-05 16,0.826,0.077,0.096

2014-03-06 08,0.810,0.094,0.095

2014-03-07 00,0.628,0.181,0.192

2014-03-07 23,0.429,0.197,0.374

2014-03-08 15,0.419,0.169,0.411

2014-03-09 07,0.429,0.178,0.393

2014-03-09 23,0.244,0.129,0.627

2014-03-10 21,0.051,0.035,0.914

2014-03-11 23,0.809,0.102,0.089

2014-03-12 15,0.543,0.087,0.369

2014-03-13 17,0.423,0.300,0.277

2014-03-15 01,0.425,0.313,0.262

2014-03-15 17,0.230,0.109,0.661

2014-03-16 09,0.301,0.068,0.631

2014-03-17 01,0.509,0.098,0.393

2014-03-17 18,0.663,0.130,0.207

2014-03-21 09,0.529,0.099,0.372

2014-03-22 14,0.490,0.173,0.337

2014-03-23 19,0.292,0.084,0.624

2014-03-30 14,0.469,0.156,0.375

2014-04-03 22,0.499,0.214,0.287

2014-04-06 06,0.650,0.131,0.219

2014-04-07 20,0.366,0.161,0.473

2014-04-10 22,0.362,0.320,0.318

2014-04-13 10,0.388,0.107,0.506

2014-04-14 05,0.212,0.060,0.728

2014-04-15 19,0.347,0.228,0.425

2014-04-16 14,0.365,0.180,0.455

2014-04-17 09,0.214,0.212,0.575

2014-04-18 19,0.267,0.166,0.567

2014-04-21 13,0.452,0.249,0.299

