2013-11-01 00,4,5,1028,81,3.6,East,Foggy
2013-11-01 01,4,4,1028,87,3.6,East,Foggy
2013-11-01 02,5,4,1028,87,0,NULL,Foggy
2013-11-01 03,5,4,1027,81,0,NULL,Foggy
2013-11-01 04,5,4,1027,87,3.6,North,Foggy
2013-11-01 05,4,4,1027,81,3.6,North,Foggy
2013-11-01 06,4,4,1027,81,7.2,Northeast,Foggy
2013-11-01 07,4,4,1027,87,0,NULL,Foggy
2013-11-01 08,5,5,1028,87,7.2,Northeast,Foggy
2013-11-01 09,4,7,1028,76,3.6,Northeast,Foggy
2013-11-01 10,4,9,1028,66,3.6,NULL,Foggy
2013-11-01 11,4,10,1027,58,3.6,NULL,Foggy
2013-11-01 12,4,11,1026,58,3.6,NULL,Foggy
2013-11-01 13,4,11,1025,62,7.2,Southeast,Foggy
2013-11-01 14,5,12,1025,54,7.2,Southeast,Foggy
2013-11-01 15,5,13,1024,51,10.8,Southeast,Foggy
2013-11-01 16,5,12,1024,51,7.2,Southeast,Foggy
2013-11-01 17,4,12,1024,51,14.4,Southwest,Foggy
2013-11-01 18,4,11,1025,58,10.8,South,Rainy
2013-11-01 19,4,10,1025,66,3.6,NULL,Foggy
2013-11-01 20,NULL,10,1025,71,3.6,NULL,Foggy
2013-11-01 21,NULL,10,1025,66,7.2,Southeast,Foggy
2013-11-01 22,NULL,9,1024,66,3.6,NULL,Foggy
2013-11-01 23,NULL,7,1024,76,3.6,NULL,Foggy
2013-11-02 00,NULL,7,1024,81,3.6,NULL,Foggy
2013-11-02 01,NULL,7,1024,81,3.6,NULL,Foggy
2013-11-02 02,NULL,8,1023,81,3.6,NULL,Foggy
2013-11-02 03,NULL,6,1023,81,3.6,NULL,Foggy
2013-11-02 04,NULL,5,1023,87,0,NULL,Foggy
2013-11-02 05,NULL,4,1023,87,0,NULL,Foggy
2013-11-02 06,NULL,3,1023,87,3.6,NULL,Foggy
2013-11-02 07,NULL,4,1023,87,0,NULL,Foggy
2013-11-02 08,NULL,4,1024,87,3.6,Southeast,Foggy
2013-11-02 09,NULL,6,1024,87,7.2,Northeast,Foggy
2013-11-02 10,NULL,9,1024,82,3.6,NULL,Foggy
2013-11-02 11,NULL,11,1023,67,3.6,NULL,Foggy
