2014-02-01 01,4,2,1018,60,0.000000,NULL,Foggy
2014-02-01 02,4,2,1019,56,7.200000,North,Foggy
2014-02-01 03,4,2,1018,60,3.600000,Northwest,Foggy
2014-02-01 04,4,1,1018,70,7.200000,North,Foggy
2014-02-01 05,0.482,0.092,0.426

2014-02-01 19,3,3,1013,75,10.800000,South,Overcast
2014-02-01 20,3,3,1013,75,10.800000,South,Overcast
2014-02-01 21,3,2,1013,81,10.800000,South,Overcast
2014-02-01 22,3,2,1013,81,14.400000,South,Overcast
2014-02-01 23,0.175,0.109,0.716

2014-02-02 13,0,10,1014,10,39.600000,Northwest,Sunny
2014-02-02 14,0,10,1014,10,36.000000,Northwest,Sunny
2014-02-02 15,0,9,1015,8,39.600000,Northwest,Sunny
2014-02-02 16,0,9,1015,8,28.800000,Northwest,Sunny
2014-02-02 17,0.794,0.078,0.128

2014-02-03 07,0,-4,1028,9,25.200000,North,Sunny
2014-02-03 08,0,-3,1029,8,32.400000,Northwest,Sunny
2014-02-03 09,0,-2,1029,9,28.800000,Northwest,Sunny
2014-02-03 10,0,-1,1029,8,28.800000,Northwest,Sunny
2014-02-03 11,0.998,0.002,0.000

2014-02-04 01,0,-4,1030,11,21.600000,Northwest,Sunny
2014-02-04 02,0,-5,1030,11,25.200000,North,Sunny
2014-02-04 03,0,-5,1030,11,21.600000,Northwest,Sunny
2014-02-04 04,0,-5,1030,11,18.000000,Northwest,Sunny
2014-02-04 05,0.907,0.043,0.050

2014-02-04 19,1,-4,1028,16,3.600000,East,Sunny
2014-02-04 20,1,-4,1028,16,3.600000,East,Sunny
2014-02-04 21,2,-2,1029,13,7.200000,South,Sunny
2014-02-04 22,2,-2,1029,13,7.200000,Southwest,Sunny
2014-02-04 23,0.723,0.160,0.117

2014-02-05 13,2,1,1028,28,3.600000,NULL,NULL
2014-02-05 14,2,1,1027,32,14.400000,Southeast,NULL
2014-02-05 15,2,1,1027,32,10.800000,South,NULL
2014-02-05 16,2,1,1027,32,7.200000,Southwest,Sunny
2014-02-05 17,0.363,0.111,0.526

2014-02-06 07,4,-7,1030,63,3.600000,NULL,NULL
2014-02-06 08,4,-7,1031,68,3.600000,Northeast,NULL
2014-02-06 09,3,-3,1032,55,7.200000,North,NULL
2014-02-06 10,3,-1,1032,44,7.200000,Northwest,NULL
2014-02-06 11,0.333,0.135,0.531

2014-02-07 01,2,-2,1030,69,10.800000,Southeast,NULL
2014-02-07 02,2,-2,1030,69,10.800000,Southeast,NULL
2014-02-07 03,2,-2,1030,64,7.200000,Southeast,Sunny
2014-02-07 04,2,-3,1029,59,7.200000,Southeast,Overcast
2014-02-07 05,0.493,0.136,0.371

2014-02-07 19,2,-3,1025,74,10.800000,Southeast,Snowy
